Question,Answers,Comment,freq_jpdb,moyenne_freq,
自分自身,"じぶんじしん",読みを入力してください,2407,38
一生懸命,"いっしょうけんめい",読みを入力してください,2454,316
無理矢理,"むりやり",読みを入力してください,4172,286
自己紹介,"じこしょうかい",読みを入力してください,4253,660
携帯電話,"けいたいでんわ",読みを入力してください,4378,417
中途半端,"ちゅうとはんぱ",読みを入力してください,4472,382
行方不明,"ゆくえふめい",読みを入力してください,4884,56
自業自得,"じごうじとく",読みを入力してください,6457,131
情報収集,"じょうほうしゅうしゅう",読みを入力してください,6535,294
意味不明,"いみふめい",読みを入力してください,6768,83
予想以上,"よそういじょう",読みを入力してください,6816,178
一人一人,"ひとりひとり",読みを入力してください,6894,2
自信満々,"じしんまんまん",読みを入力してください,7233,273
自分勝手,"じぶんかって,じぶんがって",読みを入力してください,7251,45
人間関係,"にんげんかんけい",読みを入力してください,7332,131
正真正銘,"しょうしんしょうめい",読みを入力してください,7461,587
自分一人,"じぶんひとり",読みを入力してください,7826,10
学生時代,"がくせいじだい",読みを入力してください,7958,65
毎日毎日,"まいにちまいにち",読みを入力してください,8009,289
日常生活,"にちじょうせいかつ",読みを入力してください,8024,174
至近距離,"しきんきょり",読みを入力してください,8555,552
恋人同士,"こいびとどうし",読みを入力してください,8636,186
生徒会長,"せいとかいちょう",読みを入力してください,8712,157
女子生徒,"じょしせいと",読みを入力してください,8720,145
身体能力,"しんたいのうりょく",読みを入力してください,8728,87
女子高生,"じょしこうせい",読みを入力してください,8747,40
彼女自身,"かのじょじしん",読みを入力してください,8767,48
男子生徒,"だんしせいと",読みを入力してください,8804,161
問答無用,"もんどうむよう",読みを入力してください,8916,180
興味津々,"きょうみしんしん",読みを入力してください,9168,666
無茶苦茶,"むちゃくちゃ",読みを入力してください,9643,330
緊急事態,"きんきゅうじたい",読みを入力してください,9662,361
気分転換,"きぶんてんかん",読みを入力してください,9927,287
家庭教師,"かていきょうし",読みを入力してください,10177,360
滅茶苦茶,"めちゃくちゃ",読みを入力してください,10178,489
登場人物,"とうじょうじんぶつ",読みを入力してください,10326,215
殺人事件,"さつじんじけん",読みを入力してください,10466,113
単刀直入,"たんとうちょくにゅう",読みを入力してください,10609,357
修学旅行,"しゅうがくりょこう",読みを入力してください,10861,383
国王陛下,"こくおうへいか",読みを入力してください,10926,358
生真面目,"きまじめ",読みを入力してください,10935,72
宣戦布告,"せんせんふこく",読みを入力してください,11053,603
電話番号,"でんわばんごう",読みを入力してください,11102,248
正々堂々,"せいせいどうどう",読みを入力してください,11137,496
半信半疑,"はんしんはんぎ",読みを入力してください,11333,343
不可思議,"ふかしぎ",読みを入力してください,11653,166
正体不明,"しょうたいふめい",読みを入力してください,11762,96
一目瞭然,"いちもくりょうぜん",読みを入力してください,11965,644
意気揚々,"いきようよう",読みを入力してください,12313,673
現実逃避,"げんじつとうひ",読みを入力してください,12337,309
運動神経,"うんどうしんけい",読みを入力してください,12576,204
作戦会議,"さくせんかいぎ",読みを入力してください,12661,136
一心不乱,"いっしんふらん",読みを入力してください,12750,201
恋愛感情,"れんあいかんじょう",読みを入力してください,13010,208
後部座席,"こうぶざせき",読みを入力してください,13018,276
自己嫌悪,"じこけんお",読みを入力してください,13060,315
休憩時間,"きゅうけいじかん",読みを入力してください,13143,435
無我夢中,"むがむちゅう",読みを入力してください,13237,158
懐中電灯,"かいちゅうでんとう",読みを入力してください,13339,606
一部始終,"いちぶしじゅう",読みを入力してください,13420,98
精神状態,"せいしんじょうたい",読みを入力してください,13462,279
試行錯誤,"しこうさくご",読みを入力してください,13525,768
同一人物,"どういつじんぶつ",読みを入力してください,13634,31
馬鹿野郎,"ばかやろう",読みを入力してください,13680,446
全身全霊,"ぜんしんぜんれい",読みを入力してください,13726,194
結婚相手,"けっこんあいて",読みを入力してください,13833,155
自己満足,"じこまんぞく",読みを入力してください,13876,384
一歩一歩,"いっぽいっぽ",読みを入力してください,13907,132
交通事故,"こうつうじこ",読みを入力してください,13941,247
全力疾走,"ぜんりょくしっそう",読みを入力してください,14122,573
信頼関係,"しんらいかんけい",読みを入力してください,14237,223
挙動不審,"きょどうふしん",読みを入力してください,14457,544
婚約破棄,"こんやくはき",読みを入力してください,14461,615
四方八方,"しほうはっぽう",読みを入力してください,14525,311
体調不良,"たいちょうふりょう",読みを入力してください,14610,128
個人情報,"こじんじょうほう",読みを入力してください,14650,253
前代未聞,"ぜんだいみもん",読みを入力してください,14909,175
瞬間移動,"しゅんかんいどう",読みを入力してください,14924,241
開口一番,"かいこういちばん",読みを入力してください,15018,106
記憶喪失,"きおくそうしつ",読みを入力してください,15132,769
右往左往,"うおうさおう",読みを入力してください,15139,1087
理解不能,"りかいふのう",読みを入力してください,15141,121
事情聴取,"じじょうちょうしゅ",読みを入力してください,15182,301
優先順位,"ゆうせんじゅんい",読みを入力してください,15238,393
第一印象,"だいいちいんしょう",読みを入力してください,15260,392
本末転倒,"ほんまつてんとう",読みを入力してください,15429,328
一般市民,"いっぱんしみん",読みを入力してください,15568,443
対戦相手,"たいせんあいて",読みを入力してください,15606,75
四六時中,"しろくじちゅう",読みを入力してください,15615,345
錬金術師,"れんきんじゅつし",読みを入力してください,15659,579
興奮気味,"こうふんぎみ",読みを入力してください,15669,469
存在意義,"そんざいいぎ",読みを入力してください,15677,276
縦横無尽,"じゅうおうむじん",読みを入力してください,15768,711
進行方向,"しんこうほうこう",読みを入力してください,15820,106
大義名分,"たいぎめいぶん",読みを入力してください,15835,151
応急処置,"おうきゅうしょち",読みを入力してください,15842,342
都市伝説,"としでんせつ",読みを入力してください,15861,236
一石二鳥,"いっせきにちょう",読みを入力してください,16070,302
興味本位,"きょうみほんい",読みを入力してください,16075,258
校長先生,"こうちょうせんせい",読みを入力してください,16118,76
意思表示,"いしひょうじ",読みを入力してください,16142,200
十中八九,"じっちゅうはっく,じゅうちゅうはっく,じゅっちゅうはっく",読みを入力してください,16222,477
方向転換,"ほうこうてんかん",読みを入力してください,16243,312
政略結婚,"せいりゃくけっこん",読みを入力してください,16430,507
総理大臣,"そうりだいじん",読みを入力してください,16454,489
江戸時代,"えどじだい",読みを入力してください,16550,403
非常事態,"ひじょうじたい",読みを入力してください,16574,356
絶体絶命,"ぜったいぜつめい",読みを入力してください,16604,167
自由自在,"じゆうじざい",読みを入力してください,16649,152
唯一無二,"ゆいいつむに,ゆいつむに",読みを入力してください,16654,343
目撃情報,"もくげきじょうほう",読みを入力してください,16732,145
不可抗力,"ふかこうりょく",読みを入力してください,16768,298
高校時代,"こうこうじだい",読みを入力してください,16803,112
一件落着,"いっけんらくちゃく",読みを入力してください,16804,138
思考回路,"しこうかいろ",読みを入力してください,16858,184
自殺行為,"じさつこうい",読みを入力してください,16955,211
学校生活,"がっこうせいかつ",読みを入力してください,16976,147
荒唐無稽,"こうとうむけい",読みを入力してください,17014,1012
非現実的,"ひげんじつてき",読みを入力してください,17345,260
記者会見,"きしゃかいけん",読みを入力してください,17352,90
少年少女,"しょうねんしょうじょ",読みを入力してください,17471,50
自己主張,"じこしゅちょう",読みを入力してください,17552,312
他人行儀,"たにんぎょうぎ",読みを入力してください,17560,318
社交辞令,"しゃこうじれい",読みを入力してください,17680,525
魔法少女,"まほうしょうじょ",読みを入力してください,17764,79
自暴自棄,"じぼうじき",読みを入力してください,17828,512
世間一般,"せけんいっぱん",読みを入力してください,17860,327
意思疎通,"いしそつう",読みを入力してください,17870,504
臨戦態勢,"りんせんたいせい",読みを入力してください,17986,554
準備万端,"じゅんびばんたん",読みを入力してください,18041,451
満身創痍,"まんしんそうい",読みを入力してください,18110,1170
秘密基地,"ひみつきち",読みを入力してください,18215,530
言語道断,"ごんごどうだん",読みを入力してください,18267,200
疑心暗鬼,"ぎしんあんき",読みを入力してください,18355,494
傍若無人,"ぼうじゃくぶじん",読みを入力してください,18436,459
情報交換,"じょうほうこうかん",読みを入力してください,18534,393
得意分野,"とくいぶんや",読みを入力してください,18554,138
小一時間,"こいちじかん",読みを入力してください,18629,39
交友関係,"こうゆうかんけい",読みを入力してください,18706,300
人手不足,"ひとでぶそく",読みを入力してください,18752,67
大真面目,"おおまじめ",読みを入力してください,18754,69
意気投合,"いきとうごう",読みを入力してください,18772,159
制限時間,"せいげんじかん",読みを入力してください,18848,197
一歩手前,"いっぽてまえ",読みを入力してください,18982,73
天気予報,"てんきよほう",読みを入力してください,19047,188
礼儀作法,"れいぎさほう",読みを入力してください,19124,397
指名手配,"しめいてはい",読みを入力してください,19263,132
優柔不断,"ゆうじゅうふだん",読みを入力してください,19318,427
花火大会,"はなびたいかい",読みを入力してください,19348,181
戦闘態勢,"せんとうたいせい",読みを入力してください,19364,368
